iter	Passed	Remaining
0	173	173053
1	176	87916
2	178	59202
3	180	44858
4	184	36762
5	186	30824
6	187	26591
7	188	23396
8	189	20904
9	191	18914
10	192	17296
11	193	15946
12	194	14787
13	197	13891
14	198	13046
15	200	12304
16	201	11653
17	202	11059
18	204	10533
19	206	10095
20	207	9674
21	209	9297
22	212	9025
23	213	8698
24	215	8389
25	216	8098
26	217	7829
27	218	7590
28	219	7361
29	222	7180
30	224	7021
31	226	6859
32	227	6679
33	230	6538
34	233	6435
35	235	6297
36	242	6310
37	244	6200
38	246	6069
39	247	5938
40	248	5815
41	253	5787
42	255	5692
43	257	5586
44	258	5480
45	259	5380
46	260	5282
47	261	5192
48	263	5108
49	268	5107
50	270	5036
51	271	4952
52	272	4871
53	273	4792
54	274	4721
55	276	4656
56	277	4595
57	281	4579
58	284	4529
59	285	4467
60	286	4406
61	287	4352
62	289	4299
63	290	4254
64	292	4205
65	296	4193
66	298	4157
67	299	4101
68	300	4052
69	303	4030
70	304	3983
71	305	3941
72	307	3907
73	312	3914
74	314	3874
75	315	3833
76	316	3796
77	317	3755
78	319	3720
79	320	3686
80	321	3650
81	322	3615
82	327	3622
83	329	3591
84	330	3554
85	331	3519
86	331	3482
87	332	3449
88	333	3416
89	334	3384
90	335	3352
91	336	3321
92	337	3294
93	341	3288
94	342	3263
95	343	3237
96	344	3209
97	345	3182
98	346	3156
99	347	3130
100	348	3104
101	349	3074
102	350	3048
103	351	3024
104	352	3001
105	356	3005
106	358	2989
107	359	2967
108	360	2945
109	361	2924
110	362	2901
111	363	2882
112	364	2864
113	365	2843
114	366	2823
115	367	2801
116	370	2797
117	372	2782
118	373	2763
119	374	2745
120	375	2726
121	376	2708
122	376	2686
123	377	2668
124	378	2650
125	379	2633
126	380	2616
127	381	2598
128	382	2583
129	386	2584
130	387	2573
131	389	2560
132	391	2549
133	392	2536
134	393	2521
135	394	2506
136	395	2492
137	396	2476
138	397	2461
139	401	2467
140	402	2454
141	403	2439
142	404	2425
143	405	2411
144	406	2398
145	407	2385
146	408	2372
147	409	2360
148	410	2346
149	411	2333
150	412	2320
151	414	2314
152	416	2303
153	417	2291
154	418	2278
155	418	2266
156	419	2254
157	420	2243
158	421	2231
159	422	2219
160	423	2208
161	424	2197
162	426	2188
163	428	2183
164	429	2172
165	430	2162
166	431	2151
167	432	2139
168	433	2130
169	434	2119
170	435	2109
171	435	2098
172	436	2088
173	437	2079
174	439	2069
175	444	2080
176	445	2072
177	446	2063
178	447	2053
179	448	2043
180	449	2032
181	450	2022
182	451	2014
183	452	2005
184	453	1996
185	454	1987
186	455	1982
187	458	1980
188	460	1975
189	461	1967
190	462	1958
191	463	1949
192	464	1940
193	465	1931
194	465	1923
195	466	1915
196	468	1907
197	469	1900
198	471	1898
199	473	1893
200	474	1886
201	475	1878
202	476	1871
203	477	1863
204	479	1860
205	480	1853
206	482	1846
207	482	1838
208	483	1831
209	486	1830
210	488	1827
211	489	1820
212	491	1817
213	493	1812
214	494	1806
215	496	1800
216	497	1794
217	498	1788
218	502	1790
219	504	1787
220	505	1782
221	506	1775
222	507	1769
223	508	1763
224	510	1757
225	511	1751
226	512	1745
227	513	1739
228	516	1739
229	518	1735
230	519	1729
231	520	1724
232	521	1718
233	523	1712
234	524	1706
235	525	1700
236	526	1694
237	527	1688
238	528	1682
239	529	1676
240	531	1674
241	532	1668
242	533	1662
243	534	1656
244	535	1650
245	536	1645
246	537	1639
247	538	1633
248	540	1628
249	543	1629
250	546	1631
251	547	1626
252	549	1622
253	550	1616
254	551	1611
255	552	1605
256	553	1600
257	554	1595
258	555	1590
259	556	1584
260	557	1579
261	561	1581
